Country,Year,Linguistic Diversity Index
Thailand,2010,0.74
Timor-Leste,2010,0.897
Togo,2010,0.897
Tokelau,2010,0.054
Tonga,2010,0.014
Trinidad and Tobago,2010,0.696
Tunisia,2010,0.012
Turkey,2010,0.3
Turkmenistan,2010,0.386
Turks and Caicos Islands,2010,0.146
Tuvalu,2010,0.139
Uganda,2010,0.928
Ukraine,2010,0.495
United Arab Emirates,2010,0.777
United Kingdom,2010,0.133
United States,2010,0.319
United States Virgin Islands,2010,0.354
Uruguay,2010,0.092
Uzbekistan,2010,0.427
Vanuatu,2010,0.974
Venezuela,2010,0.051
Vietnam,2010,0.242
Wallis and Futuna,2010,0.407
Yemen,2010,0.579
Zambia,2010,0.878
Zimbabwe,2010,0.518
