country,Year,numbeoQoL,usNewsQoL,ceoQoL,hdi2019
Iran,2022,63.6,,73.08,0.783
Nigeria,2022,54.71,,75.49,0.539
Ethiopia,2022,,,73.05,0.485
DR Congo,2022,,,70.36,0.48
Tanzania,2022,,,75.11,0.529
Myanmar,2022,,67,71.38,0.583
Uganda,2022,,,73.21,0.544
Sudan,2022,,,31.67,0.51
Algeria,2022,,,80.96,0.748
Iraq,2022,,78,74.89,0.674
Afghanistan,2022,,,68.5,0.511
Angola,2022,,,72.57,0.581
Uzbekistan,2022,,76,74.79,0.72
Yemen,2022,,,69.43,0.47
Ghana,2022,,,72.03,0.611
Mozambique,2022,,,64.71,0.456
Nepal,2022,,,75.66,0.602
Madagascar,2022,,,59.95,0.528
Venezuela,2022,,,73.66,0.711
Ivory Coast,2022,,,70.14,0.538
Cameroon,2022,,,70.61,0.563
Niger,2022,,,49.43,0.394
Burkina Faso,2022,,,64.42,0.452
Mali,2022,,,68.09,0.434
Syria,2022,,,31.55,0.567
Malawi,2022,,,42.25,0.483
Zambia,2022,,,,0.584
Guatemala,2022,,64,74.11,0.663
Chad,2022,,,58.23,0.398
Senegal,2022,,,,0.512
Cambodia,2022,,49,69.18,0.594
Zimbabwe,2022,,,70.64,0.571
Guinea,2022,,,60.96,0.477
Rwanda,2022,,,51.26,0.543
Benin,2022,,,53.41,0.545
Burundi,2022,,,36.55,0.433
Tunisia,2022,,66,79.54,0.74
Bolivia,2022,,,,0.718
Haiti,2022,,,46.91,0.51
Dominican Republic,2022,,53,,0.756
Cuba,2022,,,72.74,0.783
South Sudan,2022,,,35.52,0.433
Honduras,2022,,,,0.634
Papua New Guinea,2022,,,,0.555
Tajikistan,2022,,,41.6,0.668
Togo,2022,,,40.95,0.515
Sierra Leone,2022,,,37.3,0.452
Laos,2022,,,,0.613
Nicaragua,2022,,,,0.66
Libya,2022,,,70.31,0.724
Paraguay,2022,,,73.59,0.728
Kyrgyzstan,2022,,,44.81,0.697
Turkmenistan,2022,,,70.55,0.715
El Salvador,2022,,75,68.99,0.673
Central African Republic,2022,,,35.13,0.397
Lebanon,2022,,77,76.77,0.744
Liberia,2022,,,35.61,0.48
Palestine,2022,,,,0.708
Mauritania,2022,,,38.08,0.546
Eritrea,2022,,,43.95,0.459
Mongolia,2022,,,63.84,0.737
Moldova,2022,,,72.03,0.75
Bosnia and Herzegovina,2022,,,,0.78
Albania,2022,,,68.96,0.795
Jamaica,2022,,,65.01,0.734
Armenia,2022,,,61.62,0.776
Gambia,2022,,,34.74,0.496
Botswana,2022,,,68.58,0.735
Namibia,2022,,,62.25,0.646
Gabon,2022,,,68.06,0.703
Lesotho,2022,,,,0.527
Guinea-Bissau,2022,,,,0.48
Equatorial Guinea,2022,,,56.8,0.592
Trinidad and Tobago,2022,,,,0.796
Bahrain,2022,,,76.76,0.852
Timor-Leste,2022,,,,0.606
Mauritius,2022,,,72.95,0.804
Eswatini,2022,,,37.77,0.611
Djibouti,2022,,,35.39,0.524
Fiji,2022,,,,0.743
Comoros,2022,,,33.14,0.554
Guyana,2022,,,37.56,0.682
Bhutan,2022,,,80.78,0.654
Solomon Islands,2022,,,,0.567
Montenegro,2022,,,38.56,0.829
Suriname,2022,,,36.65,0.738
Malta,2022,,,83.04,0.895
Maldives,2022,,,67.65,0.74
Bahamas,2022,,,,0.814
Belize,2022,,,34.78,0.716
Vanuatu,2022,,,,0.609
Barbados,2022,,,,0.814
Sao Tome and Principe,2022,,,,0.625
Samoa,2022,,,,0.715
Saint Lucia,2022,,,,0.759
Kiribati,2022,,,,0.63
Grenada,2022,,,,0.779
Micronesia,2022,,,,0.62
Seychelles,2022,,,34.74,0.796
Tonga,2022,,,,0.725
Saint Vincent and the Grenadines,2022,,,,0.738
Antigua and Barbuda,2022,,,,0.778
Andorra,2022,,,,0.868
Dominica,2022,,,34.19,0.742
Saint Kitts and Nevis,2022,,,,0.779
Marshall Islands,2022,,,,0.704
Liechtenstein,2022,,,84.75,0.919
Palau,2022,,,,0.826
